ID;Country;Latitude;Longitude;Page;Battle;Year;Participants;War;Winner;Loser;Participant 1;Participant 2;Lehmann Zhukov Scale;Theatre;Polygon;Massacre;Alternative Sources Consulted;Infered Scale;Minor
Kep1884;Vietnam;21.40529;106.2757033;Showalter, p724;Kep;1884;;Sino-French War;France;China;;;2;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p723;;
Kepaniwai1790;United States;20.8830066;-156.5348857;519;Kepaniwai;1790;['Hawaiian', 'Hawaii', 'Mokuohai', 'Kamehameha', 'Kamehameha'];Hawaiian Wars;Kamehameha;Kalanikupulu;;;1;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p484;;
Kerch1855;Ukraine;45.357314;36.468293;520;Kerch;1855;['Turkish', 'Russian', 'Kerch', 'Russian'];Crimean War;United Kingdom, France, Turkey;Russia;;;2;Land and Sea;;No;Clodfelter, Warfare and Armed Conflict, p179;;
Kerch1942;Ukraine;45.357314;36.468293;520;Kerch;1942;['Russian', 'German', 'Russians'];World War II;Germany;USSR;;;5;Land;;No;Clodfelter, Warfare and Armed Conflict, p466;1;
Kerch1944;Ukraine;45.357314;36.468293;520;Kerch;1944;['Russian', 'Perekop', 'German', 'Russians'];World War II;USSR;Germany;;;4;Land;;No;Clodfelter, Warfare and Armed Conflict, p459;;
Keren1941;Eritrea;15.7800173;38.4534461;520;Keren;1941;['Northern Africa', 'British', 'Sudan', 'Eritrea'];World War II;United Kingdom;Italy;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p441;1;
Keren1977-1978;Eritrea;15.7800173;38.4534461;520;Keren;1977-1978;['Eritrean', 'Ethiopians', 'Ethiopian', 'Eritrean'];Eritrean War of Independence;Ethiopia;Eritrea;;;4;Land;;No;Clodfelter, Warfare and Armed Conflict, p553;;
Kerensky Offensive1917;Ukraine;49.4462365;24.9036056;520;Kerensky Offensive;1917;['Stanislau', 'Riga'];World War I;Germany;Russia;;;4;Land;KER17;No;Clodfelter, Warfare and Armed Conflict, p411;1;
Keresztes1596;Hungary;47.8167465;20.6250687;520;Keresztes;1596;['Turkish', 'Erlau', 'Ottoman', 'Turks', 'Belgrade'];Turkish-Habsburg Wars;Ottoman Empire;Habsburg Empire, Hungary, Trannsylvania;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p26;;
Kerman1721;Iran;30.2839379;57.0833628;520;Kerman;1721;['Persian', 'Afghanistan', 'Farah', 'Persia', 'Kerman', 'Persian'];Persian-Afghan Wars;Persia;Afghanistan;;;;Land;;No;;;
Kerman1722;Iran;30.2839379;57.0833628;521;Kerman;1722;['Persian', 'Persia', 'Kandahar', 'Kerman', 'Persians', 'Gulnabad'];Persian-Afghan Wars;Afghanistan;Persia;;;2;Land;;No;Clodfelter, Warfare and Armed Conflict, p114;;
Kerman1794;Iran;30.2839379;57.0833628;521;Kerman;1794;['Persian', 'Persia', 'Iran', 'Kerman'];Persian Wars of Succession;Aga Mohammad Khan of the Qajar;Shah Lutf Ali;;;;Land;;Battle followed by massacre;;;
Kermanshah1752;Iran;34.3276924;47.0777685;NA;Kermanshah;1752;['Persian'];Persian Wars of Succession;Regent Karim Khan;Ali Mardan Khan;;;;Land;;No;;;
Kernstown1862;United States;39.1467144;-78.1977698;521;Kernstown;1862;['Shenandoah', 'Kernstown', 'Virginia'];American Civil War;United States;Confederate States of America;;;2;Land;;No;Encyclopedia of Battles, Eggenberger, p218;;
Kernstown1864;United States;39.1451051;-78.1891676;521;Kernstown;1864;['Kernstown', 'Winchester', 'Virginia'];American Civil War;Confederate States of America;United States;;;2;Land;;No;https://www.battlefields.org/learn/civil-war/battles/second-battle-kernstown;;
Kerulen1203;China;48.8000133;116.9912452;521;Kerulen;1203;['Mongolia', 'Temujin', 'Naiman'];Conquests of Genghis Khan;Mongols;Kerait;;;;Land;;No;;;
